listing_id,price_range,price,neighbourhood
11551,Budget,0.0,Lambeth
15400,Budget,0.0,Kensington and Chelsea
17402,Luxury,0.03998724624421712,Westminster
25023,Budget,0.03399532354453273,Wandsworth
36299,High-End,0.0,Richmond upon Thames
36986,Budget,0.0,Hackney
38407,Budget,0.0,Tower Hamlets
38610,Luxury,0.0128379835461597,Hammersmith and Fulham
41445,Mid-Range,0.0,Barnet
43202,Mid-Range,0.017486551706665673,Brent
45168,Mid-Range,0.0,Westminster
46961,Budget,0.012019395505625878,Kensington and Chelsea
51578,Budget,0.00303755353450254,Hackney
51830,Mid-Range,0.0,Westminster
52151,Budget,0.0,Islington
53245,Budget,0.0,Lambeth
55402,Budget,0.040020949675441946,Croydon
55706,Luxury,0.020011835150299973,Westminster
62218,High-End,0.0,Camden
62970,Luxury,0.0,Tower Hamlets
64942,Mid-Range,0.0,Tower Hamlets
65638,Budget,0.00837174816844855,Southwark
67025,High-End,0.03242354183912663,Westminster
67851,Budget,0.0,Hackney
70482,Mid-Range,0.0,Hackney
71875,High-End,0.08366444376818667,Camden
73431,Budget,0.0,Lambeth
74107,Mid-Range,0.0560784534125479,Brent
75120,Superior,0.06169477283465687,Hammersmith and Fulham
76932,Luxury,0.0,Westminster
79488,High-End,0.032922209785350875,Westminster
79571,Mid-Range,0.0,Kensington and Chelsea
80123,Mid-Range,0.023417831234236946,Wandsworth
80441,Mid-Range,0.0,Lambeth
81052,High-End,0.0,Islington
81211,Mid-Range,0.0,Camden
81410,Superior,0.0,Westminster
81449,High-End,0.0,Tower Hamlets
81470,Luxury,0.0,Hammersmith and Fulham
81951,High-End,0.0,Havering
83308,Mid-Range,0.0,Brent
85111,High-End,0.0,Merton
85406,High-End,0.12880914928652182,Westminster
86084,High-End,0.0,Wandsworth
86092,High-End,0.034894658061501355,Hammersmith and Fulham
87514,Mid-Range,0.0,Camden
89787,Budget,0.0,Hounslow
89816,Luxury,0.0,Westminster
89870,High-End,0.0,Islington
